Species;Isolate;Substrate;Dish;Radius;MeasureRadius_7D;MeasureRadius_1D
C_cattleyicola;C19;PDA;D4;R3;4.5;0.642857143
C_cattleyicola;C19;PDA;D4;R4;4.4;0.628571429
C_cattleyicola;C19;SNA;D1;R1;3.8;0.542857143
C_cattleyicola;C19;SNA;D1;R2;4;0.571428571
C_cattleyicola;C19;SNA;D1;R3;4;0.571428571
C_cattleyicola;C19;SNA;D1;R4;4.3;0.614285714
C_cattleyicola;C19;SNA;D2;R1;3.9;0.557142857
C_cattleyicola;C19;SNA;D2;R2;3.9;0.557142857
C_cattleyicola;C19;SNA;D2;R3;4;0.571428571
C_cattleyicola;C19;SNA;D2;R4;4.4;0.628571429
C_cattleyicola;C19;SNA;D3;R1;3.9;0.557142857
C_cattleyicola;C19;SNA;D3;R2;3.9;0.557142857
C_cattleyicola;C19;SNA;D3;R3;3.9;0.557142857
C_cattleyicola;C19;SNA;D3;R4;4.4;0.628571429
C_cattleyicola;C19;SNA;D4;R1;3.9;0.557142857
C_cattleyicola;C19;SNA;D4;R2;4;0.571428571
C_cattleyicola;C19;SNA;D4;R3;4;0.571428571
C_cattleyicola;C19;SNA;D4;R4;4.3;0.614285714
C_cattleyicola;C19;OA;D1;R1;4.3;0.614285714
C_cattleyicola;C19;OA;D1;R2;4.4;0.628571429
C_cattleyicola;C19;OA;D1;R3;4.3;0.614285714
C_cattleyicola;C19;OA;D1;R4;4.3;0.614285714
C_cattleyicola;C19;OA;D2;R1;4.3;0.614285714
C_cattleyicola;C19;OA;D2;R2;4.4;0.628571429
C_cattleyicola;C19;OA;D2;R3;4.3;0.614285714
C_cattleyicola;C19;OA;D2;R4;4.3;0.614285714
C_cattleyicola;C19;OA;D3;R1;4.2;0.6
C_cattleyicola;C19;OA;D3;R2;4.5;0.642857143
C_cattleyicola;C19;OA;D3;R3;4.3;0.614285714
C_cattleyicola;C19;OA;D3;R4;4.3;0.614285714
C_cattleyicola;C19;OA;D4;R1;4.3;0.614285714
C_cattleyicola;C19;OA;D4;R2;4.5;0.642857143
C_cattleyicola;C19;OA;D4;R3;4.3;0.614285714
C_cattleyicola;C19;OA;D4;R4;4.2;0.6
